RANK,EVENT,TIME,ATHLETE,GENDER,LSC,CLUB CODE,"SWIMMER
COUNTRY",MEET NAME,"SWIM
DATE","LOCATION
CITY"
1,50 FR LCM,23.61,Sarah Sjostrom,Female,Europe,SWE,Sweden,2023 World Champs,7/29/2023,"Fukuoka, JP"
2,50 FR LCM,23.62,Sarah Sjostrom,Female,Europe,SWE,Sweden,2023 World Champs,7/30/2023,"Fukuoka, JP"
3,50 FR LCM,23.67,Sarah Sjostrom,Female,Europe,SWE,Sweden,2017 World Champs,7/29/2017,Unknown
4,50 FR LCM,23.73,Britta Steffen,Female,Europe,GER,Germany,2009 World Champs,8/2/2009,Unknown
5,50 FR LCM,23.96,Marleen Veldhuis,Female,Europe,NED,Netherlands,2008 Olympic Invite,4/19/2009,Unknown
6,50 FR LCM,23.97,Libby Trickett,Female,Oceania,AUS,Australia,2008 AUS Olympic Trials,3/27/2008,Unknown
7,50 FR LCM,24.09,Marleen Veldhuis,Female,Europe,NED,Netherlands,2008 European Champs,3/18/2008,Unknown
8,50 FR LCM,24.13,Inge De Bruijn,Female,Europe,NED,Netherlands,2000 Olympic Games,9/22/2000,Unknown
9,50 FR LCM,24.39,Inge De Bruijn,Female,Europe,NED,Netherlands,Unknown Record Meet 1032,6/10/2000,Unknown
10,50 FR LCM,24.48,Inge De Bruijn,Female,Europe,NED,Netherlands,Unknown Record Meet 1031,6/4/2000,Unknown
11,50 FR LCM,24.51,Inge De Bruijn,Female,Europe,NED,Netherlands,Unknown Record Meet 1028,5/27/2000,Unknown
11,50 FR LCM,24.51,Jingyi Le,Female,Asia,CHN,Peoples Republic of China,1994 US World Championships,9/11/1994,Unknown
13,50 FR LCM,24.79,Wenji Yang,Female,Asia,CHN,Peoples Republic of China,1992 Olympic Games,7/31/1992,Unknown
14,50 FR LCM,24.98,Wenji Yang,Female,Asia,CHN,Peoples Republic of China,Unknown Record Meet 785,4/11/1988,Unknown
15,50 FR LCM,25.28,Tamara Costache,Female,Europe,BUL,Bulgaria,1986 World Champs,8/23/1986,Unknown